click,price,score,judge,rec_most,rec_more,rec_normal,rec_bad,rec_morebad,readed,reading,readup
1,36.0,7.5,4706,1040,2288,1242,122,14,5105,155,8769
0,38.0,8.4,7771,2927,3812,916,93,23,8332,1077,34111
0,39.5,7.9,8923,2356,4739,1704,98,26,9849,165,1938
1,39.0,9.3,43697,29614,12160,1793,87,43,63682,5641,20590
1,49.0,8.3,6426,2348,3204,791,64,19,6935,774,9543
0,58.0,8.2,2353,846,1122,358,25,2,2529,133,5551
0,26.0,8.3,2727,894,1415,387,21,10,3242,536,9738
1,39.0,8.6,2148,971,905,245,19,8,2186,577,3769
1,20.0,8.6,18935,9005,7813,1929,151,37,22554,2076,35932
1,26.0,8.5,13533,6185,5251,1746,243,108,16417,1206,12034
1,48.0,8.9,7586,4150,2891,508,22,15,8521,889,18085
0,20.0,9.4,423055,318881,94012,9316,423,423,0,0,0
1,23.0,8.5,197694,82720,85688,26715,1978,593,272955,29022,173617
0,39.0,8.6,1796,895,735,158,5,3,1931,82,3094
0,32.0,8.1,140000,58100,49560,22960,5880,3500,186771,7351,65636
1,49.9,8.1,4740,1553,2292,810,71,14,5019,267,3107
0,26.8,6.9,5953,1167,2030,1959,518,279,7009,218,844
1,45.0,8.4,26688,15560,8540,2135,293,160,30245,1374,12974
1,39.9,8.6,837,397,378,57,5,0,896,32,1626
0,12.0,8.4,103249,42746,46153,13422,722,206,138968,6383,58959
1,65.0,8.9,3045,1718,1069,225,27,6,3374,398,12549
0,35.0,9.4,6612,5104,1337,152,13,6,17895,310,2958
1,29.5,9.1,7472,5022,2085,336,22,7,8325,240,1532
1,15.0,9.0,111967,62877,39004,9078,672,336,139792,12941,131108
1,29.0,8.2,39356,13972,15113,8816,1180,275,55160,1680,13395
1,19.8,8.6,14449,6972,5482,1851,130,14,17460,795,12107
1,76.8,9.0,82452,51616,25066,5441,247,82,113763,1700,21042
1,27.0,8.5,27799,11248,12192,3915,361,83,33367,2455,9641
0,13.0,9.1,11933,7309,3958,620,35,11,13850,473,6652
0,98.0,9.9,42,24,12,5,0,1,43,25,1193
1,29.0,7.6,2234,402,1192,569,60,11,2475,167,3091
1,19.0,8.9,349919,200855,123172,24494,1049,349,463455,25201,174138
1,158.0,8.6,557,280,231,37,7,2,544,129,2033
1,18.0,8.5,3937,1757,1568,531,66,15,10793,322,2128
1,208.6,9.2,20759,14201,5522,892,103,41,22872,2730,8353
1,29.0,8.8,4130,2119,1694,293,20,4,4536,307,1059
1,36.0,8.0,9304,2915,3968,2021,307,93,10410,2782,22227
1,56.5,8.3,4999,2217,2112,615,45,10,5527,119,3676
1,29.6,9.1,11040,6536,3875,585,33,11,12201,626,3483
1,49.8,7.8,6864,4071,1840,693,178,82,6837,539,4884
1,32.8,7.2,510,384,74,32,6,14,157,287,1211
1,29.0,8.8,25259,12580,9751,2601,252,75,29909,4069,12407
1,42.8,9.2,2609,1866,629,107,5,2,2721,199,1753
0,42.0,8.1,3980,1091,2186,653,39,11,4399,209,3600
0,8.0,7.6,4785,1015,2285,1332,134,19,5936,200,2437
1,39.5,8.4,8214,3332,3611,1157,90,24,9225,1721,21352
1,48.0,8.6,1477,579,674,192,25,7,1598,150,2466
1,39.0,8.1,16772,4919,8798,2787,218,50,17802,1171,18798
1,43.9,9.0,93263,57580,28976,6335,279,93,126956,6674,58386
1,28.0,8.7,26755,13017,10478,2967,240,53,39907,2212,23040
0,24.8,8.8,39349,21052,14874,3266,118,39,49991,1515,5099
1,35.0,8.8,7946,4300,2941,651,39,15,8716,571,12702
1,25.0,8.6,11892,5191,5405,1202,83,11,14314,643,3508
1,310.0,8.1,5236,1754,2619,801,52,10,6827,439,8022
0,29.8,8.2,34965,11819,16050,6678,349,69,45649,820,12252
1,320.0,8.2,4188,2151,1544,410,50,33,3743,833,3467
0,48.0,8.7,104,52,38,12,2,0,102,53,2087
1,15.0,9.1,7939,5114,2295,484,31,15,17825,521,8522
